letterbox,imdbId,tmdbId,genres,title
spider-man-across-the-spider-verse,9362722,569094,animation|science-fiction|adventure|action,Spider-Man: Across the Spider-Verse (2023)
the-super-mario-bros-movie,6718170,502356,adventure|comedy|family|animation|fantasy,The Super Mario Bros. Movie (2023)
air-2023,16419074,964980,drama|history,Air (2023)
the-pale-blue-eye,14138650,800815,crime,The Pale Blue Eye (2022)
avatar-the-way-of-water,1630029,76600,science-fiction|action|adventure,Avatar: The Way of Water (2022)
amsterdam-2022,10304142,664469,thriller|mystery|crime|comedy,Amsterdam (2022)
all-quiet-on-the-western-front-2022,1016150,49046,war|drama,All Quiet on the Western Front (2022)
the-menu-2022,9764362,593643,thriller|horror|comedy,The Menu (2022)
argentina-1985,15301048,714888,drama|history,"Argentina, 1985 (2022)"
nope,10954984,762504,mystery|science-fiction|horror,Nope (2022)
bullet-train,12593682,718930,comedy|action|thriller,Bullet Train (2022)
elvis-2022,3704428,614934,music|history|drama,Elvis (2022)
top-gun-maverick,1745960,361743,drama|action,Top Gun: Maverick (2022)
rrr,8178634,579974,action|drama,RRR (2022)
everything-everywhere-all-at-once,6710474,545611,adventure|action|science-fiction,Everything Everywhere All at Once (2022)
studio-666-2022,15374070,895744,comedy|horror|music,Studio 666 (2022)
the-batman,1877830,414906,mystery|thriller|crime,The Batman (2022)
uncharted-2022,1464335,335787,adventure|action,Uncharted (2022)
dont-look-up-2021,11286314,646380,comedy|drama|science-fiction,Don't Look Up (2021)
licorice-pizza,11271038,718032,comedy|drama,Licorice Pizza (2021)
8-bit-christmas,11540284,802217,comedy|family,8-Bit Christmas (2021)
last-night-in-soho,9639470,576845,horror|thriller|mystery,Last Night in Soho (2021)
dune-2021,1160419,438631,science-fiction|adventure,Dune (2021)
the-green-knight,9243804,559907,adventure|fantasy|drama,The Green Knight (2021)
awake-2021,10418662,615658,science-fiction|drama|thriller,Awake (2021)
in-the-heights,1321510,467909,drama|romance,In the Heights (2021)
bo-burnham-inside,14544192,823754,comedy|drama,Bo Burnham: Inside (2021)
cruella,3228774,337404,crime|comedy,Cruella (2021)
o-caso-evandro,12402000,124407,documentary|crime,O Caso Evandro (2021)
tom-clancys-without-remorse,0499097,567189,thriller|adventure|action|war,Tom Clancy's Without Remorse (2021)
mare-of-easttown,10155688,115004,crime|drama|mystery,Mare of Easttown (2021)
biggie-i-got-a-story-to-tell,14058484,797309,documentary|music,Biggie: I Got a Story to Tell (2021)
judas-and-the-black-messiah,9784798,583406,drama|history,Judas and the Black Messiah (2021)
emicida-amarelo-its-all-for-yesterday,13458600,765613,documentary|music,Emicida: AmarElo - It's All for Yesterday (2020)
